,0,1,2,3,4,5,6,7,8,9
31,-0.16282219,-0.9572397,0.7293483,-1.7108254,0.14388701,-0.028620739,-0.7355951,0.6220297,1.204674,0.013690864
32,3.0438888,-0.35195106,-0.59265584,0.06969002,1.1318572,-2.0046742,-0.6065752,2.9322424,-0.2459018,-0.29844856
33,0.98454696,-0.39305928,1.7281257,-0.6928027,-1.9695253,2.2203863,-0.80377924,-1.1710137,0.3143967,0.31726292
34,1.3680885,-0.7236013,-0.15816781,0.55171865,0.6885122,-1.4496136,0.740411,1.8429736,0.6700338,2.5591965
35,-0.64346904,-0.252497,0.3032742,0.25116208,0.043770563,-1.666112,0.5066072,0.65534276,1.2989583,1.7645137
36,0.95244026,-0.21621092,0.20171535,2.385184,-0.92100406,-1.9684985,-1.0095488,-0.15691748,1.2376331,-0.51889926
37,-0.80922985,-0.06817424,1.5480094,-0.57799655,-0.14234133,0.43067262,-0.33221874,0.65280443,1.3446573,0.70786333
38,0.4876445,-0.88187593,2.4237785,-1.6805822,-1.7491746,2.0057118,-0.20262934,-1.0652305,0.25108767,0.4958081
39,-0.02208019,-0.15706529,1.305459,-1.439583,-0.046302628,-0.022964494,-1.2270019,0.8830214,2.718396,0.28871527
40,0.12849921,-0.69158816,0.099964015,0.49801344,-0.31905773,0.5132725,-0.35148552,-1.3956633,0.8662814,0.6334706
41,0.8515656,-0.019343954,-0.03234253,-0.4988393,-0.43058366,-0.08269422,-0.6665456,-0.1239623,0.6798923,0.7490661
42,0.382003,-0.077162914,0.20974155,-2.8412273,0.41447932,-0.08958941,-0.9459595,1.4309033,1.88557,-0.00743614
43,0.7157721,-0.49823323,-0.42847827,-1.2615542,-0.084611036,-2.398416,0.40452644,1.4440426,1.0315241,0.46959522
44,1.0896289,-1.2475803,-0.8508427,0.58546335,0.34851623,0.3880677,-0.5095621,-0.5815346,0.8395173,-0.3248004
45,0.36488506,-1.1052648,1.3504764,1.4093934,-0.5927651,0.8315416,-0.72440255,-0.8536329,0.80336446,0.42775413
46,0.41675898,-1.1035101,-0.9689057,-0.32334602,1.180171,1.0809685,-0.12660961,-0.62920177,1.1109492,1.3029829
47,-2.0210774,-0.53920805,1.6995357,1.0476904,0.17928427,-0.5247172,1.0143806,-0.563453,1.5024632,2.4577482
48,-0.56426007,-0.5680433,0.6503361,-0.14887218,-1.2332962,-0.60922205,-0.6757933,-0.8338572,2.095453,-0.3277353
49,-0.025029661,-0.59938955,1.2453145,-0.7108302,-0.3325142,-1.1383866,0.2852978,0.9804249,0.67460376,0.28589916
50,2.77882,-1.5723093,-1.5083272,0.76358706,1.6411035,-0.68185735,-0.15932298,1.0117205,0.67264783,-0.7375972
51,-1.4443983,-0.7144373,1.5707961,-1.5413972,-0.55186903,1.8115263,0.11731603,-1.0353551,1.5998212,1.0262465
52,0.85788715,0.15532176,-0.50849307,-1.0161607,-0.5889736,-2.5729308,-0.1410232,1.7508774,0.61034906,-0.3895372
53,-0.15605636,0.12493656,-0.26172704,0.7874448,0.2314475,0.24161977,-0.2902844,-0.7173349,0.40024236,1.028857
54,-0.23155168,-0.5289324,-0.10892153,-1.3012048,0.050107334,-0.03953885,-0.22746262,0.36010605,1.2628015,0.11866426
55,0.06448836,-0.08813282,1.4644676,-0.35595235,-1.0027816,-0.82658714,0.46163774,0.21301967,1.7167667,0.61172926
56,-1.1938592,-0.95925057,0.24141924,-1.297306,-1.4006698,1.0090643,0.30906883,-2.643403,3.2292314,1.5324993
57,0.48453575,-0.4184779,1.1359141,-0.62878555,0.26747048,-1.3369124,0.53659797,0.66846246,0.47456536,1.0056413
58,0.90346074,-1.3299077,0.48212603,-0.32347417,1.0873563,0.27807522,-0.36410385,0.39357653,0.51348364,0.38233536
59,-1.4828317,-0.39525238,1.2458661,-1.3879167,-0.4446241,-1.0793014,0.75413257,-0.6292563,1.5469464,1.8122107
60,-0.8795015,-0.98924667,1.3899702,-2.4614475,-1.4681004,0.42852265,1.2616885,-1.1331892,1.317049,1.6047734
